,section_title,section_text
28,Feature Updates,"Request Forms
Dynamic Request forms: With dynamic Request forms you can trigger follow-up questions based on what answer someone selects to a dropdown-type question.
Forms with multiple pages: Admins can now divide questions on to multiple pages in order to make dynamic Request forms (or just to add a little organization).
YouTube Video Attachments
We've added control for admins on Enterprise accounts. You can now restrict users from attaching YouTube videos to tasks.
Android Update
The Browse View got some new sections: You can now browse by ""Recent"" (recent tasks), ""Starred"" (starred Folders and Projects) or Everything (all of your Tasks, Folders, and Projects).
Comment reactions are no longer desktop only - you can now add reactions from Android as well.
For all us who like to mass edit tasks, you can now use some mass editing options on the Android app.
Project Wizard (a Wrike Labs feature)
Now adjust share settings right from the Project Wizard. Choose who new Folders and Projects are shared with or view who new Subfolders and Subprojects are shared with (and share them with more people)."
29,Fixes,"Logo on External Request Forms
Before: When Business and Enterprise admins updated a custom logo, the old logo still appeared on the external Request form. Now: It may take an hour, but the new logo will appear on the external Request form."
30,Video Release Notes,"Check out video release notes, or read about this week's updates below."
31,Feature Updates,"Board View Release
The Board View is out of Labs! This new view shows tasks as cards and organizes them into columns based on their status. Drag and drop tasks between columns to change their status. And not to sound cliché, but: there's no set up required.
iOS App Updates
Create tasks. To make it easier for you to create new tasks, we moved the green create task icon to the bottom of the app.
Keep things updated. From the Browse View, swipe down to sync your Folder tree in iOS with the latest version from the desktop version of Wrike.
Folder/Project picker update. When you add a task to a Folder or Project, the Folders and Projects you've looked at most recently appear at the top of the list.
Request Form Builder Stability Improvement
In a win for all admins who create new Request forms: we've improved stability when you're rearranging questions on forms via drag and drop."
32,Fixes,"Workload View Repositioning
Before on the Workload View: If you rescheduled or reassigned tasks via drag and drop, clicked ""Open task"", or changed a task's duration, then the view scrolled up. Now: It's fixed, you can make changes and the view stays in the same spot it was before.
Improved PDF Zoom
Before: When you zoomed in or out on a .pdf file in the Proofing viewer, the file temporarily disappeared from view (until it reloaded at the appropriate zoom level). Now: Your .pdf files don't disappear from view when you zoom."
33,Video Release Notes,"Check out video release notes, or read about this week's updates below."
34,Feature Updates,"Launch Templates from a Request Form
Not only can Request submissions create tasks and Projects, but now Request submissions can also trigger Projects to be launched from templates (admins set this up).
Frame-by-Frame Video Proofing
For those of you who get into the nitty-gritty of videos, you can now move a video forward or backward by a single frame.
Task Stream Updates
Replying to updates: Now, when a change is made by one teammate, you can hover over their update (in the task stream) and click Reply. When you do that, the comment box prepopulates with an @mention to the person you're replying to.
Delete comment button moved: The button is still there, it just got a new home. Now you can delete your comment by hovering over it, clicking the menu button, and then selecting ""Delete"".
Board View Filters (Labs Feature)
You can now filter tasks by assignee or author on the Board View. Ready, set, filter."
35,Fixes,"Adding Attachments Comments
In the new task stream, it wasn't possible to attach a file to a comment via drag and drop. This functionality was available in the old stream, and now it's back.
Page Up and Down in Task View
Situation: You're using Chrome, you open a task in a separate tab, you made a change to the description field, and then pressed the Page Up or Page Down buttons. Result: The task view broke. Now, everything works as it should and you can Page Up or Page down to your heart's content."
36,Video Release Notes,
37,Feature Updates,"Microsoft Teams and Wrike
Microsoft launched Teams on Tuesday and we released Wrike for Microsoft Teams. Use the integration to work with Wrike tasks from your messaging app. So when watercooler talk turns into work talk, we've got you covered.
Project Wizard and Default View in Labs
Once enabled from Labs, the Project Wizard helps you create new Projects and Folders. Add some basic details (instead of just a Project/Folder name) and choose a default view. What's a default view? The view that a Project opens in when you click on it. For example, you have a Project open in the Table View instead of the List View."
38,Fixes,"Spacing in Reactions
If multiple people reacted to a comment, then their names were listed right next to each other (without a space). We fixed the clingy tendency and now there's a space between names.
YouTube Video Replay
Let's say you uploaded a YouTube video to the Workspace, watched it, and then tried to jump back to a specific point in the video or tried to click play to watch it again. Before: Nothing happened. Womp womp. Now: The video starts playing again.
Redesigned Navigation in Labs
Before, if you had the redesigned navigation enabled from Wrike Labs, the left-hand panel opened more often than people wanted it to. Now the left-hand nav only opens when you click the hamburger icon or the Projects tab."
39,Feature Updates,"Comment Reactions in the Workspace
Now you can react to comments in Wrike with emojis. Use emoji's to show that you've read something, or indicate how you feel about something.
Comments
Now, if a comment has five lines or less, you see the full comment. If a comment has more than five lines, then you'll see the ""show more"" option. Here's to more reading and less clicking.
View Video Upload Limits
Account owners, on accounts with Proofing and Approvals, can now see how much space you have left for video uploads for the month. Your video storage tracker automatically resets each month so you can keep track of how many more uploads you can do. Check this information on the Subscription tab in the Account Management section of the Workspace.
Request Form Builder Updates
We've made a few improvements to the Request Form Builder to make it easier to use:
The ""Save"" and ""Publish"" buttons were removed from the right-hand panel, but they are where you need them, at the bottom of the Request form. Added bonus: they're always visible on your form (no need to scroll to the bottom).
You'll see a green ""Published"" bar for published forms, and a gray ""Draft"" bar for draft forms. So it's easier to see if a Request form is Published or saved as a Draft."
40,Fixes,"Comments Added to Tasks
Let's say you started typing a comment in a task and then, without posting your comment, you quickly switch to another task. Sometimes the text you started typing in the first task showed up in the comment field of the second task. This doesn't happen anymore, comments stay where they're supposed to.
Subtasks on the Table View
Situation: You have a task with a subtask in Folder Awesome. The subtask also lives in Folder Rockstar. You complete the parent task, then you open Folder Awesome in the Table View (with the ""All Active"" filter applied) and make changes to the subtask. Before: After making the changes, the subtask disappeared from the view. Now: The subtask remains visible (like it's supposed to)."
41,Feature Updates,"Stream Facelift
The Workspace's Streams (the Stream tab, Stream View, and task stream) got a facelift. The spiffy new design gives comments a different background color than other task updates so that you can more easily see comments.
Time Stamps on Video Proofing
When you make a comment on a video, the comment stream in the Proofing viewer shows the timestamp for when on the video the comment was made. For example, if you make the comment ""great day!"" at 30 secs on a video, the panel shows that the comment is at 30 seconds.
Editing Billing Data
We've beefed up security, and now we ask account owners to enter their password to confirm that they want to make changes when they edit the account's billing details. (SSO users are exempt from this)."
42,Fixes,"Sharing Request Forms
Before when you duplicated a Request form, your share settings weren't saved. Now they are. Duplicate in peace."
43,Feature Updates,"Video Proofing
Video Proofing is out of Labs and available in the Workspace (for anyone with Proofing and Approvals or on Wrike for Marketers)! Now you can attach video files in Wrike and add comments directly to the video (to make communicating about revisions easier).
New Markup Tools
Proofing got some new markup tools. Instead of just a circle, you can now use an arrow, rectangle, and free draw tool. There's also a text highlight tool for .pdf files. Time to show off your drawing talent.
Wrike's Extension for Adobe Premier Pro
You can now add Wrike's Adobe Extension to Adobe Premier Pro, so video gurus can work in their tool but still access Wrike info.
Board View Enhancement
The Board View is a Wrike Labs feature. Before you could only see tasks from a particular Folder/Project on a Board, now you can now see tasks from descendant Subfolders/Subprojects as well. More information for you and your team."
44,Fixes,"Unfollow Link in Email Notifications
Wrike email notifications temporarily didn't have the link to unfollow tasks. The link, along with an explanation of why you received the email notification are back!"
45,Feature Updates,"Undo Decision on Approvals
For all of us who sometimes click too quickly, there's now an ""Undo decision"" button that appears for approvers after clicking ""Approve"" or ""Changes required"" on a file you've been assigned to review.
Updated Video Tutorials in Workspace.
We've added our new how-to videos directly into the Workspace. Click ""Video Tutorials"" in the left-hand corner of the Workspace footer to see the videos.
Labs Feature Update: Board View
On the Board View, you can now see tasks from descendant Folders/Subfolders (before you could only see tasks from that particular Folder/Project).
Now you can delete tasks on the Board View from the new context menu. To get to the context menu: hover over the task and click the three dots that appear, or right click on the task. Purge carefully."
46,Fixes,"Tasks on Dashboard Widgets
Dashboard Widgets are created from Folders/Projects. Before: If a Dashboard was shared with you, but the Folder/Project wasn't, you would see a message that said ""No tasks"". Now: You'll see a message that the Folder was deleted or that you don't have access to it.
G Suite and Inviting New Users
This was a short-lived problem, but for a couple days admins on accounts integrated with G Suite saw a server-side error when they invited people from the linked G Suite domain. Fixed, admins can now invite users just fine."
47,Feature Updates,"Request Form Sharing
Now when you create a Request you can choose who sees it. Share your Request form with all users in the account, select users and groups, or make it available externally only.
Default Values in Request Forms
For dropdown and checkbox type question Request forms - admins can choose to have a default option selected. For example, if you have a ""Priority"" dropdown on your form, you can have the default selection be ""Low"".
Redesigned Workspace Header
You'll notice a change if you have the ""Navigation Redesign"" enabled from Labs. Now, there's no more ""..."" at the top of the Workspace, instead all of the Global Views are listed across the top of the Workspace for easier access.
iOS App
It just got a little easier to view images in the iOS app - you can click on images directly from the task view to see a preview.
For all of us who forget our passwords, you can now click ""Login with Google"" and if you are logged in to your Google account in one of your phone's browsers, then you'll be automatically logged in to Wrike."
48,Fixes,"Google Drive Attachments
Before: A button for downloading Google Drive files was available, but if you clicked it, files weren't downloaded to your computer. Now: The ""Download"" button doesn't show up for Google Drive attachments, so there's less confusion."
49,Feature Updates,"Request Form Upgrades
Admins can now duplicate Request Forms, so you don't always have to start from scratch.
Some Form settings moved to the right-hand side of the page.
For externally available Requests, admins no longer see the ""Contact Information"" block on the form builder, but users filling out the form via the link are still asked to enter their contact info.
Increased User Groups
In a victory for anyone who uses User Groups: we increased the number of User Groups accounts can have. Now everyone can have at least 21 User Groups (including the My Team group).
Edit Billing Info
Before: It wasn't possible to edit billing info; you could only delete the old card and add a new one. Now: You can edit billing details (like credit card info and billing address).
iOS App Push Notifications
You're in control - at least of your notifications. Now you can: disable or enable all notifications. Or enable only Inbox notifications but disable Stream related updates (like description field updates, changed status, etc). Feel the power."
50,Fixes,"Parent Folder Grouping in Reports
This one came back, but should be fixed for good now. Situation: You have a Task, Folder or Project that ""lives"" in multiple parent Folders/Projects. You create a Report that includes data from one of the parent Folders/Projects and group by ""Parent Folder"". Before: The Task or Project showed up under all of their parent Folders. Now: The Task/Project shows up only under the parent Folder that the Report is based on.
Dashboards Limit and Wrike for Marketers
Before: Users on Wrike for Marketers (Business or Enterprise) could only create up to 10 Dashboards. Now: Wrike for Marketers (WfM) users can have up to 15 Dashboards, WfM Enterprise users - up to 20 Dashboards.
Reports Scheduling
If you subscribed to a Report and wanted to have the Report sent on the half hour, the time reverted back to the hour when you tried to save. Fixed."
51,Feature Updates,"Board View in Labs
The Board View is a spiffy new view that let's you see tasks organized into columns based on their status. Enable the new view from Wrike Labs.
Create a Project via Forms
Now Admins can more quickly kickoff Projects by opting to have a Project (instead of a task) created when a Request is submitted."
52,Fixes,"Excel Export from Reports
Before: When you exported a Report from Wrike to Excel, Date and Number type Custom Fields were exported as text. Now: They're exported as dates and numbers (unless you checked the box next to ""Use 1000 separator"", we're still working on that use case).
Add User with Incorrect Email
Before: If you clicked ""Add Users"" in the Workspace footer and entered an incorrect email, the window would close, but the invitation wouldn't send. Now: The ""Invite users"" window doesn't close and the incorrect email is highlighted so you can make changes."
53,Feature Updates,"Video Proofing in Labs
Video Proofing is in Wrike Labs and available to anyone with Proofing and Approvals. Let the editing begin. Account Admins in the United States can enable the feature, and once enabled, all users on the account can use it. Use video proofing to add comments to specific times on a video.
Android App Update
You can now see Subfolders and Subprojects in the Task List from the app's Browse section.
Inbox Notifications
Now notifications are sticking around longer, they remain in Inbox for 4 weeks (instead of 2)."
54,Fixes,"Sunset of Old Wrike
Before: If you visited Wrike.com from an unsupported browser version, then you saw an old version of the Workspace. Now: You see a page asking you to update your browser so that you can start using Wrike.
Inbox Notifications
Situation: You have an Inbox notification card open, and a new notification about the same Task, Folder, or Project comes in. Before: The incoming notification wasn't marked as read. Now: It is.
Timelog View Entries Limit
Before: There was no limit to how many entries showed up in the Timelog View. However, the page crashed if there were too many tasks with Timelog entries. Now: A maximum of 1000 entries can appear on the Timelog View. Just select a different time frame to see a different range of entries."
55,Feature Updates,"iOS App Update
New year, updated iOS app. Some big changes: 1) The navigation menu is at the bottom of the app (instead of in a side navigation panel), 2) Reply to an @mention directly from push notifications, and 3) The app is now faster and more stable."
56,Fixes,"Bullet Point Indention
The indent and unindent buttons in the description field worked inconsistently. Now: Fixed. You can indent and unindent lists to your heart's content.
Edit Custom Workflows
Situation: You can't move the first status in Active and Completed groups within a workflow. Before: You could drag the first status to a different slot, but the changes wouldn't save, the first status remained the first status. Now: You can't drag and drop the first status to a different slot."
57,Feature Updates,"Report templates
Report templates left the nest (aka Wrike Labs) and are now available to anyone with access to Reports.
Workload View
Traditionally the Workload View has shown tasks from particular Folders or Projects. Now: Click ""Show full workload"" to see tasks (which are shared with you), from all other Folders and Projects as well. This should help give you a more complete picture of what someone is working on.
Now: If you use Effort Allocation (a Wrike Labs feature) you'll see effort calculated in hours on the Workload View (and can enter effort in hours on the Table View), instead of in percentages.
Email Notification Settings
You can unsubscribe from email notifications related to when: 1) A Report is shared with you, 2) A scheduled Report is ready for review. It's a holiday present: a little more control over emails, one notification setting at a time.
Updated Gmail Gadget
Notable changes: 1) The gadget now was a new, modern design. 2) After you create a task from the gadget you'll have the option to edit the task from the gadget or open it in Wrike. 3) Last but not least, performance has improved significantly and many old bugs were eliminated.
Voting Forums
We launched a new Product Feedback section on Wrike's Community. Let us know your ideas for what you'd like to see in Wrike. Can't wait to hear from you!"
58,Fixes,"PDF Files in Internet Explorer 11
Before: .pdf files didn't open in IE 11. Now: They do.
Parent Folder Grouping in Reports
Situation: You apply a grouping by Parent Folder in a Report and some of the items in the Report belong to Folders / Projects which aren't shared with you. Before: The items were grouped by Parent Folder but you saw ""Null"" as a grouping title for Folders that weren't shared with you. Now: If you don't have access to a Folder/Project, then items aren't grouped by that Folder on your Report."
59,Feature Updates,"Collapsible Left-Hand Navigation Panel in Labs
Enable the option to hide the left-hand Navigation panel from Wrike Labs. With the new update: 1) the Navigation panel is now exclusively a Folder tree and 2) The tabs that lived in the panel before (Dashboard, Inbox, etc) now run along the top of the Workspace.
Report Templates
Report templates are now in Wrike Labs. Use Report templates to quickly create Reports and gain visibility into your projects.
Emoji Picker
The emoji picker is now available to everyone. Click the smiley face icon in the comments section to add an emoji.
Adobe Extension
Now when you upload several artboards using the Abobe Extension: you can choose to upload the artboards as a single PDF or add them as seperate image files.
Inbox Notifications about Folders/Projects
When you get an Inbox notification related to a Folder or Project (ex: when one is shared with you), you can click ""Open Task List"" to open the Task List for that Folder or Project.
""Highlight Overdue"" on the Timeline and Workload Views
Now, by default, overdue tasks appear in the color associated with their status but you can check the box next to ""Highlight overdue"" to mark the tasks red."
60,Fixes,"#xme Search Command
Before: If you used the #xme search command, you would see search results that didn't match that filter criteria. Now: When you use the search command #xme you see only tasks created by you or assigned to you (which is how it should work).
Report Reminders
Before: You could only schedule Report reminders to be delivered on the hour (8, 9, 10am, etc). Now: You can schedule Report reminders to be delivered on the hour or on the half hour (8:30, 9:30, 10:30 etc.). The default reminder time is 8 AM."
61,Feature Updates,"Emoji's in Inbox Notifications
Emojis now show up in Inbox notifications. Enjoy those smileys.
Subscribing to Reports
The ability to subscribe to Reports is out of Labs and available for anyone with access to Reports.
Change Report Name
Now you can change a Report's name directly from the Report view (without opening the Report Builder). Hooray for one less step.
Android App Update
We rolled out new ways to access the Android app. For app versions 4.3 - 5.1 we have PIN access and for app versions 6.0+ we have PIN and fingerprint access. Visit app settings to set up either."
62,Fixes,"Compact Task List
Before: If you enabled the Compact Task List from Labs, then created a new task and clicked anywhere, the Task View didn't open. Instead, you had to open the task manually. Now: The logic is the same as with the regular task list (List View). When you create a task and then click anywhere, the Task View automatically opens.
Entering Assignees
Before: From the Table View: 1) You used the tab key to switch to the ""Assignee"" column, 2) Began typing someone's name, 3) Hit enter to select a user, 4) The assignee cell remained empty. Now: The assignee's name appears in the cell.[OLD]Old Table View Overview
Hiding Empty Folders
Before: If you used the ""Hide empty folders"" option in the Table View, then empty Folders disappeared. However, if you then changed which filters were applied, the empty Folders mysteriously reappeared. Now: Empty Folders stay hidden even after you change the filters."
